publication_number,abstract_text
CA-2954601-A1,"A method of analyzing biological data containing expression values of a plurality of polypeptides in the blood of a subject. The method comprises: calculating a distance between a segment of a curved line and an axis defined by a direction, the distance being calculated at a point over the curved line defined by a coordinate along the direction. The method further comprises correlating the distance to the presence of, absence of, or likelihood that the subject has, a bacterial infection. The coordinate is defined by a combination of the expression values, wherein at least 90% of the segment is between a lower bound line and an upper bound line."
EP-1644858-A4,"The present invention provides a noninvasive, quantitative test for prognosis determination in cancer patients. The test relies on measurements of the tumor levels of certain messenger RNAs (mRNAs). These mRNA levels are inserted into a polynomial formula (algorithm) that yields a numerical recurrence score, which indicates recurrence risk."
CA-3110884-A1,"Systems and methods for using determination of base modification in analyzing nucleic acid molecules and acquiring data for analysis of nucleic acid molecules are described herein. Base modifications may include methylations. Methods to determine base modifications may include using features derived from sequencing. These features may include the pulse width of an optical signal from sequencing bases, the interpulse duration of bases, and the identity of the bases. Machine learning models can be trained to detect the base modifications using these features. The relative modification or methylation levels between haplotypes may indicate a disorder. Modification or methylation statuses may also be used to detect chimeric molecules."
WO-2019133937-A8,"For some cancers, microsatellite instability (MSI) in cell-free DNA can indicate the presence of a cancer in a subject. Subjects can generate a DNA sample for analysis to determine a likelihood that MSI exists and, thereby, determine a likelihood that the sample includes cancer. A system determines a likelihood that the sample includes MSI by selecting a set of markers from the sample and determining if those markers include MSI associated with cancer. The system determines if a marker is significant in by calculating: a viability score, a significance score, an entropy score, and a divergence score. The processing system determines an instability score representing a likelihood that the sample includes MSI based on the determined marker significances. Based on the instability score, the processing system can determine that a sample includes MSI and inform a method of treatment for the subject."
EP-3276516-A1,"A system and method for identification of key driver responsible for bringing changes in a microbial population is provided. The method involves construction of microbial association networks with each microbial taxa as nodes and their associations as edges and subsequent identification of crucial &#39;driver&#39; nodes involved in the studied disease progression. While comparing a particular node between two networks, this method takes individual nodes and their associations into account as well as the identity of their interacting partners. A taxon in the diseased state with an altered set of associations while still being increasingly important for the whole network necessarily holds a key significance in microbial interplay. Using this rationale, this methodology computes a score to quantify this change for each node and calculates its statistical significance. Subsequently, &#39;driver&#39; nodes are identified using the score coupled with other network parameters and a critical score for the &#39;driver&#39; nodes is calculated to quantify its importance."
JP-2021072778-A,"To provide a system and a method for generating a molecular function (MF) profile of an object, and identifying an existing MF profile cluster related to the generated MF profile.SOLUTION: A system comprises: at least one computer hardware processor; at least one non-transient computer readable storage medium which stores a command capable of being executed by a processor. A method comprise: a step for acquiring RNA expression data and/or whole exome sequence determination (WES) data of a biological specimen derived from an object; a step for at least partially determining a gene group expression level of each gene group of one set of gene groups by using the RNA expression data, for determining a MF profile of the object; and a step for identifying a MF profile cluster with which the MF profile of the object is associated, among a plurality of MF profile clusters.SELECTED DRAWING: None"
US-7024312-B1,"“In silico” nucleic acid recombination methods, related integrated systems utilizing genetic operators and libraries made by in silico shuffling methods are provided."
TW-202036582-A,"The invention relates to a gene variation identification method, a device and a storage medium, wherein the method comprises the steps of acquiring at least one gene sequencing read segment which corresponds with a gene variation candidate site; according to the attribute information of at least one gene sequence read segment, determining a sequence characteristic and a non-sequence characteristic of a gene variation candidate site, wherein the sequence characteristic is a characteristic related with the position of the site; and based on the sequence characteristic and the non-sequence characteristic, identifying the gene variation of the gene variation candidate site. According to the gene variation identification method, the sequence characteristic and the non-sequence characteristic of the gene can be combined, thereby more comprehensively analyzing the characteristic of the gene variation site and improving accuracy in gene variation identification."
CN-113889180-A,"The invention discloses a biomarker identification method and system based on dynamic network entropy, wherein the method comprises the following steps: acquiring disease-related functional gene pathways and gene interaction to generate gene network pathways; obtaining gene expression data corresponding to different stages of the disease for genes in the gene network pathway; calculating the channel entropy of each channel in the gene network channels for different stages of the disease based on the dynamic network entropy; and determining the path with identification effect on the disease by performing statistical analysis on the path entropy of each path at different stages of the disease. According to the invention, through constructing a gene network path, the information measurement is carried out on the paths at different stages of the disease by adopting entropy, and through analyzing the change of the entropy, the gene path biomarker related to the disease progression can be accurately identified."
CN-110428867-A,"The invention discloses the on-line analysis system and its method of a kind of gene human brain spatial and temporal expression profile, reference database platform includes human brain gene spatial and temporal expression norm, thousand human genome databases, Ensembl database and dbSNP database；Human brain gene spatial and temporal expression norm is based on constructed each brain area and the Spatial-Temporal Frame of each stage of development, the expression matrix mode of gene or netic module between each brain area and each stage of development that formed and the enrichment expression matrix mode between netic module and cell type；Data analysis module is equipped in server end；Gene set data input module and graphical visual module are equipped in client, server end carries out spatiotemporal simulation to the gene set data inputted, and is graphically presented genetic analysis result by graphical visual module.The present invention generates user friendly and understandable visualization result in client, helps the spatial and temporal expression profile for illustrating gene complexity, and reflect the relationship between analyzed gene."
CA-3053133-A1,"The present disclosure provides compositions and methods for isolating HLA-peptides from cells. The present disclosure provides a universal platform and methods for profiling the HLA-peptidome, enabling identification of endogenously presented HLA-peptides from cell lines expressing any possible class I or II construct."
US-2019005189-A1,"The invention encompasses a method of estimating a distribution or a standard deviation of breeding values or predicted transmitting abilities of gametes from an individual using population-wide estimates of linkage disequilibrium for one or more genetic markers or genes, so as to more efficiently produce offspring having breeding values or predicted transmitting abilities that equal or exceed a desired breeding value or predicted transmitting ability."
US-11198911-B2,"Products, systems, and methods for classifying human colorectal cancer into a consensus molecular subtype (CMS) and for assessing risk of recurrence based on CMS scores and based on risk scores derived from abbreviated gene expression profiles, for determining suitable treatment protocols for human colorectal cancer patients based on the determined CMS classification and based on the determined risk of recurrence, and for administering the suitable treatment protocols."
US-2015011415-A1,"The present disclosure relates to a general method for converting complex gene expression data into a simple, composite disease risk score which can be used for the development of rapid diagnostic tests suitable for clinical use for the determination of the presence of an infection or disease in a host."
US-9760675-B2,An embodiment of a method of analyzing data from processed images of biological probe arrays is described that comprises receiving a plurality of files comprising a plurality of intensity values associated with a probe on a biological probe array; normalizing the intensity values in each of the data files; determining an initial assignment for a plurality of genotypes using one or more of the intensity values from each file for each assignment; estimating a distribution of cluster centers using the plurality of initial assignments; combining the normalized intensity values with the cluster centers to determine a posterior estimate for each cluster center; and assigning a plurality of genotype calls using a distance of the one or more intensity values from the posterior estimate.
US-2011033377-A1,"The present invention relates generally to the field of diagnostic and prognostic assays for a gynecological condition. More particularly, the present invention provides an assay for diagnosing the presence of or a risk of having a gynecological cancer or a sub-type thereof or a stage of the cancer or complications arising therefrom or other gynecological condition including an inflammatory disorder."
US-2019385699-A1,"Disclosed herein are systems and methods for performing secondary analyses of nucleotide sequencing data in a time-efficient manner. Some embodiments include performing a secondary analysis iteratively while sequence reads are generated by a sequencing system. Secondary analyses can encompass both alignment of sequence reads to a reference sequence (e.g., the human reference genome sequence) and utilization of this alignment to detect differences between a sample and the reference. Secondary analysis can enable detection of genetic differences, variant detection and genotyping, identification of single nucleotide polymorphisms (SNPs), small insertions and deletion (indels) and structural changes in the DNA, such as copy number variants (CNVs) and chromosomal rearrangements."
US-2019206512-A1,"Systems, platforms, methods and media for providing genomic services axe disclosed. In one example, a system for providing genomic services comprises genomic sequencing equipment configured to generate sequence reads based upon a biological sample obtained from a user, store the sequence reads in a FASTQ storage file, and communicate the FASTQ file electronically to a recipient. The system also includes a genomic services platform which includes a network interface through which the sequence reads are received, and a bioinformatics processing pipeline. The bioinformatics processing pipeline includes a read alignment module configured to generate observed sequence data, and a variant calling module is operative to identify observed variants in the observed sequence data. A variant storage module is disposed to receive a query from network infrastructure of a partner application provider and to provide selected ones of refined variants in response to a query."
US-2003046110-A1,"A method for assessing and analyzing one or more drugs, adverse effects and associated risks, and patient characteristics resulting from the use of at least drug of interest is disclosed. The method comprises the steps of selecting one or more cases for analysis, said cases describing the behavior between at least one drug of interest and a patient genotype; profiling statistically derived values from multiple cases related to the safety of the at least one drug, wherein at least one filter is employed for deriving said values; at least one data mining engine; and an output device for displaying the analytic results from the data mining engine. A system for performing the method is likewise disclosed."
WO-2016187341-A1,The disclosed technology provides a computational prediction modeling comprising a novel algorithm for prediction of glycosylation or to optimize biopharmaceutical production of proteins of therapeutic relevance. The model of the disclosed technology can be used to predict glycosylation changes based solely on the stating glycoprofiles in any host cells and known or suggested rules on enzyme specificity. Applications of the invention model are also provided.
US-2022195526-A1,"Disclosed herein is a system and method for increasing the fidelity of measured genetic data, for making allele calls, and for determining the state of aneuploidy, in one or a small set of cells, or from fragmentary DNA, where a limited quantity of genetic data is available. Poorly or incorrectly measured base pairs, missing alleles and missing regions are reconstructed using expected similarities between the target genome and the genome of genetically related individuals. In accordance with one embodiment, incomplete genetic data from an embryonic cell are reconstructed at a plurality of loci using the more complete genetic data from a larger sample of diploid cells from one or both parents, with or without haploid genetic data from one or both parents. In another embodiment, the chromosome copy number can be determined from the measured genetic data, with or without genetic information from one or both parents."
KR-20170093511-A,"Provided are a method and system for predicting the risk of developing the genetic disease of putative offspring between a male subject and a female subject. The method and system according to one aspect can protect the privacy of individual genetic information, prevent or early diagnose future genetic diseases in children by deleting genetic information not related to genetic diseases for future children in the genomic information of men and women not to be disclosed to anyone. The method includes a step of obtaining genomic sequence analysis data, a step of extracting mutation, a check step, and a step of storing mutation information."
US-2007099227-A1,"Methods, systems and computer readable media for analyzing data. A variable width window is applied to data points from the data which are ordered to correspond to locations along a chromosome of targeted nucleotide sequences whose relative abundances are represented by the data points. The window applied is a moving window, the width of which is variable upon movement of the window to capture a fixed number of the data points, wherein the width is symmetrical about the data point to which a weighted average is to be assigned. A response function is applied to the data points captured in the window. The response function is symmetrical about the data point to which a weighted average is to be assigned."
US-8463590-B2,"Methods for generating a normalized expression signal for microarray data based on a theoretical distribution at the unit level to produce a normalized expression signal for the single microarray that is independent of other microarrays. The method typically includes receiving microarray data representing a plurality of probe pairs for a single microarray, determining, for each probe pair, differences between intensities of perfect match (PM) probes and intensities of mismatched (MM) probes, determining a difference signal, D, based on the determined differences, and scaling the difference signal, D, to produce an expression signal, DS. The method also typically includes normalizing the expression signal based on a theoretical distribution at the unit level to produce a normalized expression signal for the single microarray that is independent of other microarrays."
WO-2020132520-A3,"Gene fusions are hybrid genes formed by two previously separate genes. Many such gene fusions may be strong driver mutations for cancer and may play important roles in tumorigenesis. Gene fusions may be identified in biological samples extracted from the diseased location. However, for lung cancer, extracting samples from the nodules may be challenging and may lead to undesirable consequences. Disclosed herein is a method and system of identifying a gene fusion landscape from bronchial brushings and further identifying fusions that may be potentially associated with lung cancer."
WO-2021006596-A1,"A machine learning model-based essential gene identification method comprises the steps of: receiving, by an analysis apparatus, inputs of expression pattern information on genes of a specific cell; inputting, by the analysis apparatus, the expression pattern information to a machine learning model; and determining, by the analysis apparatus, whether a target gene from among the genes is essential in the survival of the cell, on the basis of information output by the machine learning model. The machine learning model comprises parameters which are trained based on a training data set, and the training data set comprises data for the gene expression of the specific cell and label values for whether the specific cell dies."
US-2007072246-A1,"Compositions and methods are provided for the classification of biologically active agents according to their effect on human biology, through the use of complex, primary human cell-based disease models in scalable assay formats. The systems of the invention utilize the simultaneous activation of multiple signaling pathways to generate and identify patterns of expression of physiologically important cell surface and secreted molecules. Combinations of multiple cell types may be utilized. Systems encompassing multiple cell types not only respond to perturbations of each cell type&#39;s intracellular signaling networks, but also to inhibition of pathways of communication between cells. Readout information may be combined in multi-system analysis, where the profiles obtained from multiple systems are combined in order to provide enhanced resolution for agent classification."
CA-3075266-A1,"Methods, computer-implemented methods and systems for preparing prediction model of relatedness in human population are provided. The prediction model prepared by the methods, computer-implemented methods and systems can be used to model a variety of study populations and sampling approaches to estimate the amount of relatedness researchers should expect in a genetic cohort."
US-10865447-B2,"The present invention discloses methods, kits, and apparatus as well as reagents and compositions associated therewith for deriving an indicator for use in diagnosing the presence, absence or degree of at least one condition in a biological subject or in prognosing at least one condition in a biological subject. Also disclosed is a biomarker signature for use in diagnosing the presence, absence or degree of at least one condition in a biological subject or in prognosing at least one condition in a biological subject. The present invention further discloses methods, kits and apparatus, as well as reagents and compositions associated therewith, for identifying biomarkers for use in a biomarker signature."
US-2021340599-A1,"Techniques are provided for predicting antibiotic resistance from functional omics data and recommending complementary combinations of antibiotics. According to an embodiment, computer implemented method can comprise identifying, by a system operatively coupled to at least one processor, one or more proteins that have one or more functional domains associated with at least one code selected from a coding system for a set of phenotypes, and modelling, by the system, the one or more proteins as a functional capacity vector. In some implementations, the method can further include selecting the coding system and/or the at least one code based on a phenotype of interest. The method can further comprise employing, by the system, the functional capacity vector to identify one or more antibiotic compounds to which an organism within the set of phenotypes is resistant or susceptible, and/or to predict complementary antibiotic combinations."
US-10790042-B2,"A method for at least one of characterizing, diagnosing, and treating an endocrine system condition in at least a subject, the method comprising: receiving an aggregate set of biological samples from a population of subjects; generating at least one of a microbiome composition dataset and a microbiome functional diversity dataset for the population of subjects; generating a characterization of the endocrine system condition based upon features extracted from at least one of the microbiome composition dataset and the microbiome functional diversity dataset; based upon the characterization, generating a therapy model configured to correct the endocrine system condition; and at an output device associated with the subject, promoting a therapy to the subject based upon the characterization and the therapy model."
US-2010086926-A1,"Among other aspects provided herein is a method describing the use of Single Nucleotide Polymorphism (SNP) genotyping microarrays to resolve whether genetic material (such as genomic DNA) derived from a particular individual is present in a genetic material mixture (such as a complex genomic DNA mixture) is disclosed. Furthermore, it is demonstrated that the identification of the presence of genetic material (such as genomic DNA) of specific individuals within a series of complex genomic mixtures is possible."
WO-2021248060-A1,"The disclosure provides systems and methods for generating a signal peptide amino acid sequence using deep learning, where a signal peptide is generated for input protein sequences, amino acids of the protein sequences are tokenized and mapped to a sequence of continuous representations to decode an output signal peptide sequence based on the input protein sequence."
MX-2007006441-A,A method of providing a prognosis of lung cancer is conducted by analyzing the expressionof a group of genes. Gene expression profiles in a variety of medium such as microarraysare included as are kits that contain them.
US-2017277827-A1,"Described are computational methods to reconstruct the chromosomes (and genomes) of ancestors given genetic data, IBD information, and full or partial pedigree information of some number of their descendants."
AU-2011280958-B2,"Provided herein are high-input detector modules and multi-input biological classifier circuits and systems that integrate sophisticated sensing, information processing, and actuation in living cells and permit new directions in basic biology, biotechnology and medicine. The multi-input biological classifier circuits described herein comprise synthetic, scaleable transcriptional/post-transcriptional regulatory circuits that are designed to interrogate the status of a cell by simultaneously sensing expression levels of multiple endogenous inputs, such as microRNAs. The classifier circuits then compute whether to trigger a desired output or response if the expression levels match a pre-determined profile of interest."
US-2020098444-A1,"Systems and methods disclosed for recommending beauty products for a subject by using a DNA sequencer to generate genetic information; aggregating genetic information, beauty trend data, and cosmetic product response from a patient population; deep learning with a computer to generate at least one computer implemented classifier that predicts matching beauty products based on the genetic information, beauty trend data, and cosmetic product response from a patient population; and recommending one or more beauty products for the subject."
US-2011238323-A1,"An experimental melting curve is modeled as a sum of a true melting curve and background fluorescence. A deviation function may be generated based upon the experimental melting curve data and a model of a background signal. The deviation function may be generated by segmenting a range of the experimental curve into a plurality of windows. Within each window, a fit between the model of the background signal and the experimental melting curve data may be calculated. The deviation function may be formed from the resulting fit parameters. The deviation function may include background signal compensation and, as such, may be used in various melting curve analysis operations, such as data visualization, clustering, genotyping, scanning, negative sample removal, and the like. The deviation function may be used to seed an automated background correction process. A background-corrected melting curve may be further processed to remove an aggregation signal."
US-2008046187-A1,"Methods, systems, and computer-readable media are provided which can identify and provide local variations in regions of similarity among two or more data sets. These data sets may be represented as sequences such as, e.g., genomic sequences or words in a text. The local variations in similarity levels can be provided by selecting an initial prior distribution relating the data sets, organizing the first data set into windows and the remaining data sets into blocks, using the priors to sample one or more sets of words from the first data set, computing a similarity curve from exact and inexact matches for these words and, if convergence of results is not achieved, computing a new set of priors and repeating the sampling and computation of similarity curves. The computations can be performed using an amount of computational time that is linearly proportional to the size of the data sets. The exemplary embodiments of the present invention can use Bayesian estimators to determine local variations in similarity levels and to refine estimates of the probabilistic distributions between iterations."
CN-103890193-A,"Peripheral blood markers are provided whose expression levels correlate with smoking status. Predictive models developed using highly informative markers are disclosed, along with systems, kits, and methods for using the markers to provide a biochemical surrogate for a subject&#39;s smoking status."
EP-3622521-A1,"The technology disclosed relates to constructing a convolutional neural network-based classifier for variant classification. In particular, it relates to training a convolutional neural network-based classifier on training data using a backpropagation-based gradient update technique that progressively match outputs of the convolutional network network-based classifier with corresponding ground truth labels. The convolutional neural network-based classifier comprises groups of residual blocks, each group of residual blocks is parameterized by a number of convolution filters in the residual blocks, a convolution window size of the residual blocks, and an atrous convolution rate of the residual blocks, the size of convolution window varies between groups of residual blocks, the atrous convolution rate varies between groups of residual blocks. The training data includes benign training examples and pathogenic training examples of translated sequence pairs generated from benign variants and pathogenic variants."
JP-2016042836-A,"PROBLEM TO BE SOLVED: To provide an inspection report output apparatus which can output the information used as an indicator of a determination of a reexamination, when the reexamination is determined to be necessary in a gene chromosomal examination; an inspection report output method; an inspection report output program; and a gene chromosomal examination system.SOLUTION: An inspection report output apparatus (38A) which outputs the inspection report of a gene chromosomal examination which examines a chromosomal abnormality included in an embryo-derived cell comprises an information acquisition unit (104) which acquires information comprising an inspection result of the gene chromosomal examination; an inspection report production unit (108) which produces an inspection report, in which determination information of reexamination is given, used in the determination of reexamination; and an inspection report output unit (112) which outputs the produced inspection report.SELECTED DRAWING: Figure 7"
US-10676794-B2,"Provided herein are methods and apparatus for the identification of pathogenic and non-pathogenic microorganisms in food and environmental samples. The disclosure solves existing challenges encountered in identifying food borne pathogens, including pathogens of the Salmonella, Campylobacter, Listeria, and Escherichia genera in a timely and efficient manner. The disclosure also provides methods for differentiating a transient versus a resident pathogen, correlating presence of non-pathogenic with pathogenic microorganisms, distinguishing live versus dead microorganisms by sequencing."
US-7016788-B2,"The present invention provides novel methods to identify, classify, quantify and compare nucleic acids and polypeptides."
US-2005071143-A1,"Methods, computer systems, and computer readable medium for testing a plurality of models in order to classify a biological specimen. A determination is made as to whether a model precondition associated with a model in the plurality of models has been satisfied. The model is skipped when the model precondition has not been satisfied. When the model precondition has been satisfied, the first model is tested by selecting a calculation from the first model. The selected calculation is computed using cellular constituent abundance values from the biological specimen in accordance with a calculation algorithm set forth in the selected model. This selecting and computing is repeated for one or more calculations in the selected model. Then, each of these calculations is aggregated in accordance with an aggregation algorithm associated with the selected model. These steps are repeated for at least one other model in the plurality of models. A computer medium comprising a classifier for classifying a biological specimen into a biological sample class that includes one or more models. Each of the one or more models comprises (i) an optional model precondition, (ii) a calculation algorithm, (iii) a plurality of calculations, and (iv) a calculation aggregation algorithm."
US-10748040-B2,"Glioblastoma multiforme (GBM) is the most aggressive type of brain cancer. It is critical to determine the most effective patient-specific treatment quickly. Exemplary embodiments use a data-driven approach to extracting brain tumor information from data obtain from Whole Slide Image that is uploaded through an interface. Exemplary embodiments generate the following information about a glioblastoma tumor from a brain biopsy slide using neural networks: annotated areas of relevant tissues, molecular subtype, and expression status of an important gene and include three steps: the segmentation of tumor features; prediction of molecular subtype; and prediction of gene methylation status from a WSI."
CA-2986117-C,"Methods and systems for determining copy number variants are disclosed. An example method can comprise applying a sample grouping technique to select reference coverage data, normalizing sample coverage data comprising a plurality of genomic regions, and fitting a mixture model to the normalized sample coverage data based on the selected reference coverage data. An example method can comprise identifying one or more copy number variants (CNVs) according to a Hidden Markov Model (HMM) based on the normalized sample coverage data and the fitted mixture model. An example method can comprise outputting the one or more copy number variants."
EP-2751290-A2,"Peripheral blood markers are provided whose expression levels correlate with smoking status. Predictive models developed using highly informative markers are disclosed, along with systems, kits, and methods for using the markers to provide a biochemical surrogate for a subject&#39;s smoking status."
US-2018094325-A1,"Disclosed herein are methods and kits for identifying a subject as having esophagus cancer, pancreatic cancer, or stomach cancer. Also provided herein are methods and kits for generating the methylation profile of a biomarker associated with esophagus cancer, pancreatic cancer, or stomach cancer."
TW-201229802-A,"Provided is an organism data processing method and device, storage medium and program that is able to predict and control changes in the state of an organism. The level of expression of molecules in an organism is measured over a set time interval; the measured time-series data is divided into a periodic component, an environmental stimulus response component and a baseline component; a constant region of the time-series data is identified from variations in the baseline component or from the amplitude or periodic variations of the periodic component; and causal relationships within the identified constant region are identified. The relationship between the external environment and variations in the internal environment is identified and from the causal relationships within the identified constant region, changes in the state of the organism are inferred. Further, from the relationship between the external environment and variations in the internal environment, inferring disease onset in the organism is possible. The molecules can be molecules in the blood or molecules in a culture medium."
CN-110870019-A,"The disclosed technology relates to constructing a convolutional neural network-based classifier for variant classification. And more particularly to training convolutional neural network-based classifiers on training data using a back-propagation gradient-based update method that progressively matches the outputs of convolutional network-based classifiers to corresponding truth labels. The classifier based on the convolutional neural network comprises residual block groups, wherein each residual block group is parameterized by the number of convolutional filters in the residual block, the convolutional window size of the residual block and the hole convolutional rate of the residual block, the convolutional window size is changed among the residual block groups, and the hole convolutional rate is changed among the residual block groups. The training data includes benign training instances and pathogenic training instances of translated sequence pairs generated from benign variants and pathogenic variants."
AU-2020358083-A1,"Described herein are improved variant calling methods including a two-step process involving 1) error correction of bases in sequence reads through a cell-specific process and 2) variant calling across cell populations using the error corrected sequence reads. Generally, the first step of error correction involves applying a first machine learned model to identify and correct bases of sequence reads. The second step of variant calling involves applying a second machine learned model to classify a base. Such improved variant calling methods can be useful for identifying variants that are implicated in biological processes, such as diseased biological processes."
WO-2006132971-A2,"The invention provides methods for the use of gene expression measurements to classify or identify tumors in samples obtained from a subject in a clinical setting, such as in cases of formalin fixed, paraffin embedded (FFPE) samples."
