entities,source
"[[""Major_depressive_disorder"",80]]","The present invention relates to methods for the diagnosis and evaluation of depression treatment. In particular, patient test samples are analyzed for the presence and amount of members of a panel of markers comprising one or more specific markers for depression treatment and one or more non-specific markers for depression treatment. A variety of markers are disclosed for assembling a panel of markers for such diagnosis and evaluation. Algorithms for determining proper treatment are disclosed. In various aspects, the invention provides methods for the early detection and differentiation of depression treatment. Invention methods provide rapid, sensitive and specific assays that can greatly increase the number of patients that can receive beneficial treatment and therapy, reduce the costs associated with incorrect diagnosis, and provide important information about the prognosis of the patient."
"[[""Biological_specimen"",70],[""Algorithm"",80]]","Methods, computer systems, and computer readable medium for testing a plurality of models in order to classify a biological specimen. A determination is made as to whether a model precondition associated with a model in the plurality of models has been satisfied. The model is skipped when the model precondition has not been satisfied. When the model precondition has been satisfied, the first model is tested by selecting a calculation from the first model. The selected calculation is computed using cellular constituent abundance values from the biological specimen in accordance with a calculation algorithm set forth in the selected model. This selecting and computing is repeated for one or more calculations in the selected model. Then, each of these calculations is aggregated in accordance with an aggregation algorithm associated with the selected model. These steps are repeated for at least one other model in the plurality of models. A computer medium comprising a classifier for classifying a biological specimen into a biological sample class that includes one or more models. Each of the one or more models comprises (i) an optional model precondition, (ii) a calculation algorithm, (iii) a plurality of calculations, and (iv) a calculation aggregation algorithm."
[],"The invention provides a method of determining a comparative expression profile in an individual by comparing the expression levels of a sample of molecules in a population of molecules in a specimen from the individual with a health-associated reference expression region of the sample of molecules, wherein expression levels within the health-associated reference expression region indicate a reference expression profile and wherein expression levels outside the health-associated reference expression region indicate a perturbed expression profile. The invention also provides methods of diagnosing a disease or a health state in an individual by comparing the expression level of a sample of molecules in a specimen from the individual with a health-associated reference expression region of the sample of molecules. The invention additionally provides a method of classifying a population by drug responsiveness."
"[[""Taxon"",70],[""Interplay_Entertainment"",70],[""Statistical_significance"",70]]","A system and method for identification of key driver responsible for bringing changes in a microbial population is provided. The method involves construction of microbial association networks with each microbial taxa as nodes and their associations as edges and subsequent identification of crucial &#39;driver&#39; nodes involved in the studied disease progression. While comparing a particular node between two networks, this method takes individual nodes and their associations into account as well as the identity of their interacting partners. A taxon in the diseased state with an altered set of associations while still being increasingly important for the whole network necessarily holds a key significance in microbial interplay. Using this rationale, this methodology computes a score to quantify this change for each node and calculates its statistical significance. Subsequently, &#39;driver&#39; nodes are identified using the score coupled with other network parameters and a critical score for the &#39;driver&#39; nodes is calculated to quantify its importance."
"[[""Axe"",70],[""FASTQ_format"",100],[""Network_interface_controller"",60],[""Bioinformatics"",100]]","Systems, platforms, methods and media for providing genomic services axe disclosed. In one example, a system for providing genomic services comprises genomic sequencing equipment configured to generate sequence reads based upon a biological sample obtained from a user, store the sequence reads in a FASTQ storage file, and communicate the FASTQ file electronically to a recipient. The system also includes a genomic services platform which includes a network interface through which the sequence reads are received, and a bioinformatics processing pipeline. The bioinformatics processing pipeline includes a read alignment module configured to generate observed sequence data, and a variant calling module is operative to identify observed variants in the observed sequence data. A variant storage module is disposed to receive a query from network infrastructure of a partner application provider and to provide selected ones of refined variants in response to a query."
"[[""Gene"",90]]","&lt;P&gt;PROBLEM TO BE SOLVED: To correctly determine whether or not an anomaly value of data related to a gene is statistically valid.  &lt;P&gt;SOLUTION: This application relates to a method for statistically analyzing apparent anomalies in CGH data, wherein the CGH data is arrayed corresponding to locations of substance on chromosomes from which the CGH data was derived. A set of CGH ratio values is considered and Z-score values are computed for each CGH ratio value (106). The Z-score values are classified based upon a predetermined cutoff value (108). The number of Z-scores that are greater than a predetermined cutoff value is counted, the number of Z-scores that are less than a negative of the predetermined cutoff value is counted, and the total number of Z-scores is counted. A subset of the set of CGH ratios is considered, being defined by a window of predetermined size. A secondary Z-score is computed to obtain the significance of at least one of overabundance and underabundance of at least one of significant positive deviations and significant negative deviations in the subset.  &lt;P&gt;COPYRIGHT: (C)2006,JPO&amp;NCIPI"
"[[""Normalizing_constant"",60],[""Mixture_model"",90],[""Hidden_Markov_model"",100]]","Methods and systems for determining copy number variants are disclosed. An example method can comprise applying a sample grouping technique to select reference coverage data, normalizing sample coverage data comprising a plurality of genomic regions, and fitting a mixture model to the normalized sample coverage data based on the selected reference coverage data. An example method can comprise identifying one or more copy number variants (CNVs) according to a Hidden Markov Model (HMM) based on the normalized sample coverage data and the fitted mixture model. An example method can comprise outputting the one or more copy number variants."
"[[""Cancer"",70],[""Neoplasm"",60],[""Messenger_RNA"",80],[""Polynomial"",90],[""Algorithm"",80]]","The present invention provides a noninvasive, quantitative test for prognosis determination in cancer patients. The test relies on measurements of the tumor levels of certain messenger RNAs (mRNAs). These mRNA levels are inserted into a polynomial formula (algorithm) that yields a numerical recurrence score, which indicates recurrence risk."
"[[""Directed_acyclic_graph"",60],[""Cyclic_graph"",90],[""Gerner_G.I"",60],[""Andrey_Markov_Jr."",90],[""Marginal_distribution"",60],[""Bayesian_network"",100],[""Dynamic_Bayesian_network"",100],[""Belief_propagation"",100],[""Nonparametric_statistics"",80]]","Systems and method for perturbing a system include obtaining directed acyclic/cyclic graph candidates {G I , . . . , G N } for the system. Each G i  in {G j , . . . G N } includes a causal relationship between a parent and child node. {G I , G N } demonstrate Markov equivalence. Observed data D is obtained for the nodes. For each respective G i , the marginal probability of a parent node x i  in G i  is clamped by D while computing a distribution of marginal probabilities for a child node y i , by Bayesian network or Dynamic Bayesian network belief propagation using an interaction function. The observed distribution for the child node y i , in D and the computed distribution of marginal probabilities for the child node y i  are scored using a nonparametric function, and such scores inform the selection of a directed/cyclic graph from {G I , . . . , G N }. The system is perturbed using a perturbation that relies upon a causal relationship in the selected directed acyclic/cyclic graph."
"[[""Mutation"",70]]","Provided are a method and system for predicting the risk of developing the genetic disease of putative offspring between a male subject and a female subject. The method and system according to one aspect can protect the privacy of individual genetic information, prevent or early diagnose future genetic diseases in children by deleting genetic information not related to genetic diseases for future children in the genomic information of men and women not to be disclosed to anyone. The method includes a step of obtaining genomic sequence analysis data, a step of extracting mutation, a check step, and a step of storing mutation information."
"[[""Computer_hardware"",60],[""RNA"",90],[""Exome_sequencing"",80],[""Biological_specimen"",70],[""Gene"",90]]","To provide a system and a method for generating a molecular function (MF) profile of an object, and identifying an existing MF profile cluster related to the generated MF profile.SOLUTION: A system comprises: at least one computer hardware processor; at least one non-transient computer readable storage medium which stores a command capable of being executed by a processor. A method comprise: a step for acquiring RNA expression data and/or whole exome sequence determination (WES) data of a biological specimen derived from an object; a step for at least partially determining a gene group expression level of each gene group of one set of gene groups by using the RNA expression data, for determining a MF profile of the object; and a step for identifying a MF profile cluster with which the MF profile of the object is associated, among a plurality of MF profile clusters.SELECTED DRAWING: None"
[],"Provided herein are methods, processes, systems and machines for non-invasive assessment of genetic variations."
"[[""Chromosome"",90],[""Nucleotide"",90],[""Weighted_arithmetic_mean"",60]]","Methods, systems and computer readable media for analyzing data. A variable width window is applied to data points from the data which are ordered to correspond to locations along a chromosome of targeted nucleotide sequences whose relative abundances are represented by the data points. The window applied is a moving window, the width of which is variable upon movement of the window to capture a fixed number of the data points, wherein the width is symmetrical about the data point to which a weighted average is to be assigned. A response function is applied to the data points captured in the window. The response function is symmetrical about the data point to which a weighted average is to be assigned."
"[[""Biomarker"",90],[""Entropy"",90],[""Gene"",90]]","The invention discloses a biomarker identification method and system based on dynamic network entropy, wherein the method comprises the following steps: acquiring disease-related functional gene pathways and gene interaction to generate gene network pathways; obtaining gene expression data corresponding to different stages of the disease for genes in the gene network pathway; calculating the channel entropy of each channel in the gene network channels for different stages of the disease based on the dynamic network entropy; and determining the path with identification effect on the disease by performing statistical analysis on the path entropy of each path at different stages of the disease. According to the invention, through constructing a gene network path, the information measurement is carried out on the paths at different stages of the disease by adopting entropy, and through analyzing the change of the entropy, the gene path biomarker related to the disease progression can be accurately identified."
"[[""DNA_repair"",60],[""Cancer"",70],[""CXCL10"",90],[""PRAME"",80],[""Low-density_lipoprotein_receptor-related_protein_4"",100],[""DNA"",90]]","Discloses a method of predicting responsiveness of an individual to a DNA-damage therapeutic agent or diagnosing cancer associated with a DNA damage response deficiency, comprising a. measuring expression levels of at least five biomarkers in a test sample obtained previously from the individual, wherein the at least five biomarkers are selected from the group consisting of CXCL10, MX1, IDO1, IF144L, CD2, GBP5, PRAME, ITGAL, LRP4, and APOL3; b. deriving a test score that captures the combined increased expression level of the at least five biomarkers; c. providing a threshold score comprising information correlating the combined test score and responsiveness or diagnosis; d. and comparing the combined test score to the threshold score; wherein responsiveness to a DNA-damage therapeutic agent is predicted when the combined test score exceeds the threshold score."
"[[""Signal_peptide"",100],[""Acid"",90],[""Deep_learning"",100],[""Protein"",90]]","The disclosure provides systems and methods for generating a signal peptide amino acid sequence using deep learning, where a signal peptide is generated for input protein sequences, amino acids of the protein sequences are tokenized and mapped to a sequence of continuous representations to decode an output signal peptide sequence based on the input protein sequence."
[],"The present disclosure provides compositions and methods for isolating HLA-peptides from cells. The present disclosure provides a universal platform and methods for profiling the HLA-peptidome, enabling identification of endogenously presented HLA-peptides from cell lines expressing any possible class I or II construct."
"[[""Gene"",90],[""Human_brain"",90],[""Database"",60],[""Norm_(social)"",60],[""Human_genome"",90],[""Ensembl_genome_database_project"",100],[""DbSNP"",70],[""Extracellular_matrix"",70],[""Data_analysis"",60],[""Computer_simulation"",60]]","The invention discloses the on-line analysis system and its method of a kind of gene human brain spatial and temporal expression profile, reference database platform includes human brain gene spatial and temporal expression norm, thousand human genome databases, Ensembl database and dbSNP database；Human brain gene spatial and temporal expression norm is based on constructed each brain area and the Spatial-Temporal Frame of each stage of development, the expression matrix mode of gene or netic module between each brain area and each stage of development that formed and the enrichment expression matrix mode between netic module and cell type；Data analysis module is equipped in server end；Gene set data input module and graphical visual module are equipped in client, server end carries out spatiotemporal simulation to the gene set data inputted, and is graphically presented genetic analysis result by graphical visual module.The present invention generates user friendly and understandable visualization result in client, helps the spatial and temporal expression profile for illustrating gene complexity, and reflect the relationship between analyzed gene."
[],"The present invention provides novel methods to identify, classify, quantify and compare nucleic acids and polypeptides."
"[[""Biomarker"",90],[""Lung_cancer"",80],[""Differential_diagnosis"",60],[""Lung"",60],[""Malignancy"",60]]","The present application includes biomarkers, methods, devices, reagents, systems, and kits for the detection and diagnosis of lung cancer. In one aspect, the application provides biomarkers that can be used alone or in various combinations to diagnose lung cancer or permit the differential diagnosis of pulmonary nodules as benign or malignant. In another aspect, methods are provided for diagnosing lung cancer in an individual, where the methods include detecting, in a biological sample from an individual, at least one biomarker value corresponding to at least one biomarker selected from the group of biomarkers provided in Table 18, Table 20, or Table 21, wherein the individual is classified as having lung cancer, or the likelihood of the individual having lung cancer is determined, based on the at least one biomarker value."
"[[""Standard_deviation"",100],[""Linkage_disequilibrium"",90]]","The invention encompasses a method of estimating a distribution or a standard deviation of breeding values or predicted transmitting abilities of gametes from an individual using population-wide estimates of linkage disequilibrium for one or more genetic markers or genes, so as to more efficiently produce offspring having breeding values or predicted transmitting abilities that equal or exceed a desired breeding value or predicted transmitting ability."
[],"Peripheral blood markers are provided whose expression levels correlate with smoking status. Predictive models developed using highly informative markers are disclosed, along with systems, kits, and methods for using the markers to provide a biochemical surrogate for a subject&#39;s smoking status."
"[[""Genotype"",80]]",An embodiment of a method of analyzing data from processed images of biological probe arrays is described that comprises receiving a plurality of files comprising a plurality of intensity values associated with a probe on a biological probe array; normalizing the intensity values in each of the data files; determining an initial assignment for a plurality of genotypes using one or more of the intensity values from each file for each assignment; estimating a distribution of cluster centers using the plurality of initial assignments; combining the normalized intensity values with the cluster centers to determine a posterior estimate for each cluster center; and assigning a plurality of genotype calls using a distance of the one or more intensity values from the posterior estimate.
"[[""Esophageal_cancer"",100],[""Pancreatic_cancer"",90],[""Stomach_cancer"",80],[""Biomarker"",90]]","Disclosed herein are methods and kits for identifying a subject as having esophagus cancer, pancreatic cancer, or stomach cancer. Also provided herein are methods and kits for generating the methylation profile of a biomarker associated with esophagus cancer, pancreatic cancer, or stomach cancer."
"[[""Acid"",90],[""Biochip"",60]]","The present invention relates to a reference substance and a nucleic acid chip for generating binding information on biomolecules and analysis single-stranded nucleic acids in a biosample composed of biomolecules; a method for preparing the same; and a method for analyzing biomolecules using the same, and the reference substance and the nucleic acid chip can be used for analyzing the biological significance of the biomolecules. In addition, the present invention relates to a method for preparing an external reference substance and a biochip for generating the binding information on biomolecules and ligands; and a method for analyzing biomolecules using the same. The external reference substance and the biochip of the present invention can be used in the field of analyzing the biological significance of the biomolecules."
"[[""Algorithm"",80],[""Glycosylation"",100],[""Biopharmaceutical"",70],[""Enzyme"",90]]",The disclosed technology provides a computational prediction modeling comprising a novel algorithm for prediction of glycosylation or to optimize biopharmaceutical production of proteins of therapeutic relevance. The model of the disclosed technology can be used to predict glycosylation changes based solely on the stating glycoprofiles in any host cells and known or suggested rules on enzyme specificity. Applications of the invention model are also provided.
[],"Methods, computer-implemented methods and systems for preparing prediction model of relatedness in human population are provided. The prediction model prepared by the methods, computer-implemented methods and systems can be used to model a variety of study populations and sampling approaches to estimate the amount of relatedness researchers should expect in a genetic cohort."
"[[""Acid"",90],[""Machine_learning"",100],[""Methylation"",90],[""Fusion_protein"",60]]","Systems and methods for using determination of base modification in analyzing nucleic acid molecules and acquiring data for analysis of nucleic acid molecules are described herein. Base modifications may include methylations. Methods to determine base modifications may include using features derived from sequencing. These features may include the pulse width of an optical signal from sequencing bases, the interpulse duration of bases, and the identity of the bases. Machine learning models can be trained to detect the base modifications using these features. The relative modification or methylation levels between haplotypes may indicate a disorder. Modification or methylation statuses may also be used to detect chimeric molecules."
"[[""Artificial_neural_network"",90]]","The disclosed technology relates to constructing a convolutional neural network-based classifier for variant classification. And more particularly to training convolutional neural network-based classifiers on training data using a back-propagation gradient-based update method that progressively matches the outputs of convolutional network-based classifiers to corresponding truth labels. The classifier based on the convolutional neural network comprises residual block groups, wherein each residual block group is parameterized by the number of convolutional filters in the residual block, the convolutional window size of the residual block and the hole convolutional rate of the residual block, the convolutional window size is changed among the residual block groups, and the hole convolutional rate is changed among the residual block groups. The training data includes benign training instances and pathogenic training instances of translated sequence pairs generated from benign variants and pathogenic variants."
"[[""In_silico"",90],[""Acid"",90],[""Genetic_recombination"",80],[""Genetic_operator"",80]]","“In silico” nucleic acid recombination methods, related integrated systems utilizing genetic operators and libraries made by in silico shuffling methods are provided."
"[[""Antimicrobial_resistance"",100],[""Omics"",60],[""Phenotype"",90],[""Vector_processor"",70],[""Antibiotics"",90]]","Techniques are provided for predicting antibiotic resistance from functional omics data and recommending complementary combinations of antibiotics. According to an embodiment, computer implemented method can comprise identifying, by a system operatively coupled to at least one processor, one or more proteins that have one or more functional domains associated with at least one code selected from a coding system for a set of phenotypes, and modelling, by the system, the one or more proteins as a functional capacity vector. In some implementations, the method can further include selecting the coding system and/or the at least one code based on a phenotype of interest. The method can further comprise employing, by the system, the functional capacity vector to identify one or more antibiotic compounds to which an organism within the set of phenotypes is resistant or susceptible, and/or to predict complementary antibiotic combinations."
"[[""Allele"",90],[""Aneuploidy"",100],[""DNA"",90],[""Genome"",90],[""Blastomere"",60],[""Ploidy"",90],[""Chromosome"",100]]","Disclosed herein is a system and method for increasing the fidelity of measured genetic data, for making allele calls, and for determining the state of aneuploidy, in one or a small set of cells, or from fragmentary DNA, where a limited quantity of genetic data is available. Poorly or incorrectly measured base pairs, missing alleles and missing regions are reconstructed using expected similarities between the target genome and the genome of genetically related individuals. In accordance with one embodiment, incomplete genetic data from an embryonic cell are reconstructed at a plurality of loci using the more complete genetic data from a larger sample of diploid cells from one or both parents, with or without haploid genetic data from one or both parents. In another embodiment, the chromosome copy number can be determined from the measured genetic data, with or without genetic information from one or both parents."
[],"Described are computational methods to reconstruct the chromosomes (and genomes) of ancestors given genetic data, IBD information, and full or partial pedigree information of some number of their descendants."
"[[""Colorectal_cancer"",100],[""Centers_for_Medicare_and_Medicaid_Services"",70],[""Gene"",90]]","Products, systems, and methods for classifying human colorectal cancer into a consensus molecular subtype (CMS) and for assessing risk of recurrence based on CMS scores and based on risk scores derived from abbreviated gene expression profiles, for determining suitable treatment protocols for human colorectal cancer patients based on the determined CMS classification and based on the determined risk of recurrence, and for administering the suitable treatment protocols."
"[[""Gene"",90],[""Cancer"",70],[""Carcinogenesis"",70],[""Lung_cancer"",80]]","Gene fusions are hybrid genes formed by two previously separate genes. Many such gene fusions may be strong driver mutations for cancer and may play important roles in tumorigenesis. Gene fusions may be identified in biological samples extracted from the diseased location. However, for lung cancer, extracting samples from the nodules may be challenging and may lead to undesirable consequences. Disclosed herein is a method and system of identifying a gene fusion landscape from bronchial brushings and further identifying fusions that may be potentially associated with lung cancer."
"[[""Gene"",90]]","The present disclosure relates to a general method for converting complex gene expression data into a simple, composite disease risk score which can be used for the development of rapid diagnostic tests suitable for clinical use for the determination of the presence of an infection or disease in a host."
"[[""Biomarker"",90]]","The present invention discloses methods, kits, and apparatus as well as reagents and compositions associated therewith for deriving an indicator for use in diagnosing the presence, absence or degree of at least one condition in a biological subject or in prognosing at least one condition in a biological subject. Also disclosed is a biomarker signature for use in diagnosing the presence, absence or degree of at least one condition in a biological subject or in prognosing at least one condition in a biological subject. The present invention further discloses methods, kits and apparatus, as well as reagents and compositions associated therewith, for identifying biomarkers for use in a biomarker signature."
"[[""Molecular_biology"",80],[""Biotechnology"",90],[""Medicine"",60],[""Endogenous_retrovirus"",60]]","Provided herein are high-input detector modules and multi-input biological classifier circuits and systems that integrate sophisticated sensing, information processing, and actuation in living cells and permit new directions in basic biology, biotechnology and medicine. The multi-input biological classifier circuits described herein comprise synthetic, scaleable transcriptional/post-transcriptional regulatory circuits that are designed to interrogate the status of a cell by simultaneously sensing expression levels of multiple endogenous inputs, such as microRNAs. The classifier circuits then compute whether to trigger a desired output or response if the expression levels match a pre-determined profile of interest."
"[[""Endocrine_system"",90],[""Human_microbiota"",80]]","A method for at least one of characterizing, diagnosing, and treating an endocrine system condition in at least a subject, the method comprising: receiving an aggregate set of biological samples from a population of subjects; generating at least one of a microbiome composition dataset and a microbiome functional diversity dataset for the population of subjects; generating a characterization of the endocrine system condition based upon features extracted from at least one of the microbiome composition dataset and the microbiome functional diversity dataset; based upon the characterization, generating a therapy model configured to correct the endocrine system condition; and at an output device associated with the subject, promoting a therapy to the subject based upon the characterization and the therapy model."
"[[""Genotype"",80],[""Data_mining"",100]]","A method for assessing and analyzing one or more drugs, adverse effects and associated risks, and patient characteristics resulting from the use of at least drug of interest is disclosed. The method comprises the steps of selecting one or more cases for analysis, said cases describing the behavior between at least one drug of interest and a patient genotype; profiling statistically derived values from multiple cases related to the safety of the at least one drug, wherein at least one filter is employed for deriving said values; at least one data mining engine; and an output device for displaying the analytic results from the data mining engine. A system for performing the method is likewise disclosed."
"[[""DNA_sequencer"",100],[""Deep_learning"",100]]","Systems and methods disclosed for recommending beauty products for a subject by using a DNA sequencer to generate genetic information; aggregating genetic information, beauty trend data, and cosmetic product response from a patient population; deep learning with a computer to generate at least one computer implemented classifier that predicts matching beauty products based on the genetic information, beauty trend data, and cosmetic product response from a patient population; and recommending one or more beauty products for the subject."
"[[""Prior_probability"",100],[""Bayesian_statistics"",90]]","Methods, systems, and computer-readable media are provided which can identify and provide local variations in regions of similarity among two or more data sets. These data sets may be represented as sequences such as, e.g., genomic sequences or words in a text. The local variations in similarity levels can be provided by selecting an initial prior distribution relating the data sets, organizing the first data set into windows and the remaining data sets into blocks, using the priors to sample one or more sets of words from the first data set, computing a similarity curve from exact and inexact matches for these words and, if convergence of results is not achieved, computing a new set of priors and repeating the sampling and computation of similarity curves. The computations can be performed using an amount of computational time that is linearly proportional to the size of the data sets. The exemplary embodiments of the present invention can use Bayesian estimators to determine local variations in similarity levels and to refine estimates of the probabilistic distributions between iterations."
"[[""Microarray"",90],[""Nintendo_DS"",60]]","Methods for generating a normalized expression signal for microarray data based on a theoretical distribution at the unit level to produce a normalized expression signal for the single microarray that is independent of other microarrays. The method typically includes receiving microarray data representing a plurality of probe pairs for a single microarray, determining, for each probe pair, differences between intensities of perfect match (PM) probes and intensities of mismatched (MM) probes, determining a difference signal, D, based on the determined differences, and scaling the difference signal, D, to produce an expression signal, DS. The method also typically includes normalizing the expression signal based on a theoretical distribution at the unit level to produce a normalized expression signal for the single microarray that is independent of other microarrays."
"[[""Error_detection_and_correction"",70]]","Described herein are improved variant calling methods including a two-step process involving 1) error correction of bases in sequence reads through a cell-specific process and 2) variant calling across cell populations using the error corrected sequence reads. Generally, the first step of error correction involves applying a first machine learned model to identify and correct bases of sequence reads. The second step of variant calling involves applying a second machine learned model to classify a base. Such improved variant calling methods can be useful for identifying variants that are implicated in biological processes, such as diseased biological processes."
"[[""Fluorescence"",90],[""Melting_curve_analysis"",80],[""Data_visualization"",70],[""Genotyping"",70]]","An experimental melting curve is modeled as a sum of a true melting curve and background fluorescence. A deviation function may be generated based upon the experimental melting curve data and a model of a background signal. The deviation function may be generated by segmenting a range of the experimental curve into a plurality of windows. Within each window, a fit between the model of the background signal and the experimental melting curve data may be calculated. The deviation function may be formed from the resulting fit parameters. The deviation function may include background signal compensation and, as such, may be used in various melting curve analysis operations, such as data visualization, clustering, genotyping, scanning, negative sample removal, and the like. The deviation function may be used to seed an automated background correction process. A background-corrected melting curve may be further processed to remove an aggregation signal."
"[[""Biology"",80],[""Assay"",60]]","Compositions and methods are provided for the classification of biologically active agents according to their effect on human biology, through the use of complex, primary human cell-based disease models in scalable assay formats. The systems of the invention utilize the simultaneous activation of multiple signaling pathways to generate and identify patterns of expression of physiologically important cell surface and secreted molecules. Combinations of multiple cell types may be utilized. Systems encompassing multiple cell types not only respond to perturbations of each cell type&#39;s intracellular signaling networks, but also to inhibition of pathways of communication between cells. Readout information may be combined in multi-system analysis, where the profiles obtained from multiple systems are combined in order to provide enhanced resolution for agent classification."
"[[""Pathogen"",80],[""Foodborne_illness"",70],[""Salmonella"",90],[""Campylobacter"",100],[""Listeria"",90]]","Provided herein are methods and apparatus for the identification of pathogenic and non-pathogenic microorganisms in food and environmental samples. The disclosure solves existing challenges encountered in identifying food borne pathogens, including pathogens of the Salmonella, Campylobacter, Listeria, and Escherichia genera in a timely and efficient manner. The disclosure also provides methods for differentiating a transient versus a resident pathogen, correlating presence of non-pathogenic with pathogenic microorganisms, distinguishing live versus dead microorganisms by sequencing."
"[[""Single-nucleotide_polymorphism"",100],[""Genotyping"",70],[""DNA"",90]]","Among other aspects provided herein is a method describing the use of Single Nucleotide Polymorphism (SNP) genotyping microarrays to resolve whether genetic material (such as genomic DNA) derived from a particular individual is present in a genetic material mixture (such as a complex genomic DNA mixture) is disclosed. Furthermore, it is demonstrated that the identification of the presence of genetic material (such as genomic DNA) of specific individuals within a series of complex genomic mixtures is possible."
[],"Peripheral blood markers are provided whose expression levels correlate with smoking status. Predictive models developed using highly informative markers are disclosed, along with systems, kits, and methods for using the markers to provide a biochemical surrogate for a subject&#39;s smoking status."
"[[""The_Molecules"",90]]","Provided is an organism data processing method and device, storage medium and program that is able to predict and control changes in the state of an organism. The level of expression of molecules in an organism is measured over a set time interval; the measured time-series data is divided into a periodic component, an environmental stimulus response component and a baseline component; a constant region of the time-series data is identified from variations in the baseline component or from the amplitude or periodic variations of the periodic component; and causal relationships within the identified constant region are identified. The relationship between the external environment and variations in the internal environment is identified and from the causal relationships within the identified constant region, changes in the state of the organism are inferred. Further, from the relationship between the external environment and variations in the internal environment, inferring disease onset in the organism is possible. The molecules can be molecules in the blood or molecules in a culture medium."
"[[""Gene"",90]]","PROBLEM TO BE SOLVED: To provide an inspection report output apparatus which can output the information used as an indicator of a determination of a reexamination, when the reexamination is determined to be necessary in a gene chromosomal examination; an inspection report output method; an inspection report output program; and a gene chromosomal examination system.SOLUTION: An inspection report output apparatus (38A) which outputs the inspection report of a gene chromosomal examination which examines a chromosomal abnormality included in an embryo-derived cell comprises an information acquisition unit (104) which acquires information comprising an inspection result of the gene chromosomal examination; an inspection report production unit (108) which produces an inspection report, in which determination information of reexamination is given, used in the determination of reexamination; and an inspection report output unit (112) which outputs the produced inspection report.SELECTED DRAWING: Figure 7"
"[[""Glioblastoma_multiforme"",100],[""Brain_tumor"",80],[""Committee_of_the_whole"",60],[""Neoplasm"",60],[""Brain_biopsy"",70],[""Gene"",90],[""Biopsy"",90]]","Glioblastoma multiforme (GBM) is the most aggressive type of brain cancer. It is critical to determine the most effective patient-specific treatment quickly. Exemplary embodiments use a data-driven approach to extracting brain tumor information from data obtain from Whole Slide Image that is uploaded through an interface. Exemplary embodiments generate the following information about a glioblastoma tumor from a brain biopsy slide using neural networks: annotated areas of relevant tissues, molecular subtype, and expression status of an important gene and include three steps: the segmentation of tumor features; prediction of molecular subtype; and prediction of gene methylation status from a WSI."
"[[""Gene"",90],[""Formaldehyde"",90],[""Paraffin_wax"",80]]","The invention provides methods for the use of gene expression measurements to classify or identify tumors in samples obtained from a subject in a clinical setting, such as in cases of formalin fixed, paraffin embedded (FFPE) samples."
